sample_id,NAT,NUT,MARL,MURL,TCD,CDP,PC
sample_001,15,17,197.7058823529412,39.588235294117645,,,
sample_002,8,7,226.8,36.142857142857146,,,
sample_003,24,25,229.82142857142858,80.28,,,
sample_004,19,20,174.34782608695653,42.6,,,
sample_005,12,12,190.64285714285714,52.25,,,
sample_006,31,32,218.45714285714286,48.15625,,,
sample_007,18,18,199.47619047619048,39.166666666666664,,,
sample_008,11,12,223.26666666666668,44,,,
sample_009,29,43,203.8913043478261,53.06976744186046,,,
sample_010,29,28,211,59.142857142857146,,,
sample_011,15,13,185.875,43.69230769230769,,,
sample_012,16,14,211.8235294117647,63.5,,,
sample_013,13,13,203.0625,82.15384615384616,,,
sample_014,12,10,184.92307692307693,37.3,,,
sample_015,21,21,187.66666666666666,33.285714285714285,,,
sample_016,15,16,177.26315789473685,30,,,
sample_017,27,25,164.64285714285714,39.48,,,
sample_018,16,15,186.66666666666666,37.46666666666667,,,
sample_019,23,23,176.33333333333334,33.17391304347826,,,
sample_020,40,38,206.65853658536585,61.3421052631579,,,
