profile,completion_bin_before_action,action,count,proportion,denominator_turns
ALL,0.00-<0.25,Explain/ExplainNewFact,21,0.875,24
ALL,0.00-<0.25,OfferTransition/SummarizeAndSuggest,3,0.125,24
ALL,0.25-<0.50,Explain/ExplainNewFact,6,1.0,6
ALL,ALL,Explain/ExplainNewFact,27,0.9,30
ALL,ALL,OfferTransition/SummarizeAndSuggest,3,0.1,30
Explorer,0.00-<0.25,Explain/ExplainNewFact,7,0.875,8
Explorer,0.00-<0.25,OfferTransition/SummarizeAndSuggest,1,0.125,8
Explorer,0.25-<0.50,Explain/ExplainNewFact,2,1.0,2
Explorer,ALL,Explain/ExplainNewFact,9,0.9,10
Explorer,ALL,OfferTransition/SummarizeAndSuggest,1,0.1,10
Focused,0.00-<0.25,Explain/ExplainNewFact,7,0.875,8
Focused,0.00-<0.25,OfferTransition/SummarizeAndSuggest,1,0.125,8
Focused,0.25-<0.50,Explain/ExplainNewFact,2,1.0,2
Focused,ALL,Explain/ExplainNewFact,9,0.9,10
Focused,ALL,OfferTransition/SummarizeAndSuggest,1,0.1,10
Impatient,0.00-<0.25,Explain/ExplainNewFact,7,0.875,8
Impatient,0.00-<0.25,OfferTransition/SummarizeAndSuggest,1,0.125,8
Impatient,0.25-<0.50,Explain/ExplainNewFact,2,1.0,2
Impatient,ALL,Explain/ExplainNewFact,9,0.9,10
Impatient,ALL,OfferTransition/SummarizeAndSuggest,1,0.1,10
